## 文件操作 @file
保存当前文件 | Ctrl+s
保存当前文件(Vim方式) | :w
保存所有打开的文件 | :wa
退出当前窗口 | :q
不保存强制退出 | :q!
保存并退出 | :wq 或 ZZ
退出所有窗口 | :qa
强制退出所有窗口 | :qa!
另存为新文件 | :w 新文件名
重新加载当前文件 | :e!
打开文件 | :e 文件路径
新建空白文件 | :enew

## 搜索查找 @search
模糊搜索项目文件 | Space s f
全局搜索文件内容(grep) | Space s g
当前文件内模糊搜索 | Space /
搜索Neovim帮助文档 | Space s h
搜索所有快捷键绑定 | Space s k
搜索最近打开的文件 | Space s .
搜索当前打开的buffer | Space Space
恢复上一次搜索结果 | Space s r
搜索当前光标下的词 | Space s w
搜索Neovim配置文件 | Space s n
在打开的文件中搜索 | Space s /

## 文件浏览器Neo-tree @neotree @explorer
打开/关闭文件浏览器 | \
在浏览器中定位当前文件 | \ (再按一次关闭)
Neo-tree中新建文件 | a
Neo-tree中删除文件 | d
Neo-tree中重命名文件 | r
Neo-tree中复制文件 | c
Neo-tree中粘贴文件 | p
Neo-tree中剪切文件 | x
Neo-tree中刷新目录 | R
Neo-tree中显示隐藏文件 | H
Neo-tree中打开帮助 | ?

## 代码跳转导航 @navigation @jump @goto
跳转到函数/变量定义 | g r d
查找所有引用 | g r r
跳转到接口实现 | g r i
跳转到类型定义 | g r t
跳转到声明(如C头文件) | g r D
查看当前文件所有符号 | g O
查看整个项目的符号 | g W
返回上一个跳转位置 | Ctrl+o
前进到下一个跳转位置 | Ctrl+i
跳转到匹配的括号 | %
跳转到上次编辑位置 | g;
跳转到下次编辑位置 | g,

## 代码编辑 @editing @code
重命名变量/函数/类 | g r n
显示代码操作菜单(修复/重构) | g r a
格式化整个文件 | Space f
注释/取消注释当前行 | gcc
注释/取消注释选中区域 | gc (可视模式下)
注释当前行(VSCode风格) | Ctrl+/
多光标选择相同的词 | Ctrl+d
多光标添加下一个匹配 | Ctrl+d (继续按)
撤销上一步操作 | u 或 Ctrl+z
重做撤销的操作 | Ctrl+r 或 Ctrl+Shift+z
全选文件内容 | Ctrl+a 或 ggVG
自动补全确认 | Ctrl+y
自动补全取消 | Ctrl+e
显示补全菜单 | Ctrl+Space
显示函数签名帮助 | Ctrl+k

## 行操作 @line
向下移动当前行 | Alt+j
向上移动当前行 | Alt+k
向下复制当前行 | Alt+Shift+j
向上复制当前行 | Alt+Shift+k
删除当前行 | dd
删除当前行并进入插入模式 | cc
删除从光标到行尾 | D
删除从光标到行尾并插入 | C
复制当前行 | yy
复制从光标到行尾 | y$
粘贴到光标后 | p
粘贴到光标前 | P
合并下一行到当前行 | J
在当前行下方插入空行 | o
在当前行上方插入空行 | O
缩进当前行 | >>
取消缩进当前行 | <<

## 选择操作 @selection @visual
进入字符选择模式 | v
进入整行选择模式 | V
进入块选择模式(列选择) | Ctrl+v
选择整个段落 | vap
选择括号内的内容 | vi( 或 vi) 或 vib
选择括号内包含括号 | va( 或 va) 或 vab
选择花括号内的内容 | vi{ 或 vi} 或 viB
选择方括号内的内容 | vi[ 或 vi]
选择引号内的内容 | vi" 或 vi'
选择当前词 | viw
选择到行尾 | v$
选择整个文件 | ggVG
扩大选择区域 | 可视模式下继续移动

## 窗口与Buffer @window @buffer @tab
打开文件浏览器 | \
关闭当前buffer | Space x
切换到下一个buffer | Tab
切换到上一个buffer | Shift+Tab
切换到左边窗口 | Ctrl+h
切换到右边窗口 | Ctrl+l
切换到上边窗口 | Ctrl+k
切换到下边窗口 | Ctrl+j
水平分割窗口 | :sp 或 Ctrl+w s
垂直分割窗口 | :vsp 或 Ctrl+w v
关闭当前窗口 | :q 或 Ctrl+w q
只保留当前窗口 | :only 或 Ctrl+w o
调整窗口宽度增加 | Ctrl+w >
调整窗口宽度减少 | Ctrl+w <
调整窗口高度增加 | Ctrl+w +
调整窗口高度减少 | Ctrl+w -
窗口等宽等高 | Ctrl+w =

## 终端 @terminal
打开/关闭底部终端 | Ctrl+j
打开/关闭浮动终端 | Ctrl+\
打开/关闭垂直终端 | Space t v
打开/关闭底部终端(备用) | Space t h
打开/关闭Tab终端 | Space t t
新建终端 | Space t c
下一个终端 | Space t ]
上一个终端 | Space t [
切换到终端1 | Space t 1
切换到终端2 | Space t 2
切换到终端3 | Space t 3
切换到终端4 | Space t 4
切换到终端5 | Space t 5
选择终端列表 | Space t s
发送当前行到终端 | Space t l
发送选中内容到终端 | Space t l (可视模式)
打开Node REPL | Space t n
打开Python REPL | Space t p
打开Lazygit | Space g g
退出终端插入模式 | Esc Esc 或 Ctrl+\ Ctrl+n
终端中切换到左窗口 | Ctrl+h
终端中切换到上窗口 | Ctrl+k
终端中切换到右窗口 | Ctrl+l
在终端中执行命令后返回 | :!命令

## 模式切换 @mode
进入插入模式(光标前) | i
进入插入模式(光标后) | a
在行首进入插入模式 | I
在行尾进入插入模式 | A
下方新建行并插入 | o
上方新建行并插入 | O
替换当前字符 | r
进入替换模式 | R
退出到普通模式 | Esc 或 jj 或 jk
进入可视模式 | v
进入行可视模式 | V
进入块可视模式 | Ctrl+v
进入命令模式 | :

## 光标移动 @movement @cursor
向下移动半页 | Ctrl+d
向上移动半页 | Ctrl+u
向下移动一整页 | Ctrl+f
向上移动一整页 | Ctrl+b
跳到文件开头第一行 | gg
跳到文件结尾最后一行 | G
跳到当前行开头 | 0
跳到当前行第一个非空字符 | ^
跳到当前行结尾 | $
跳到下一个单词开头 | w
跳到下一个单词结尾 | e
跳到上一个单词开头 | b
跳到指定行号 | :行号 或 行号G
将当前行移到屏幕中央 | zz
将当前行移到屏幕顶部 | zt
将当前行移到屏幕底部 | zb
跳到下一个段落 | }
跳到上一个段落 | {

## 文本查找替换 @find @replace
向下查找 | /关键词
向上查找 | ?关键词
跳到下一个匹配 | n
跳到上一个匹配 | N
清除搜索高亮 | Esc 或 :noh
替换当前行第一个匹配 | :s/旧/新
替换当前行所有匹配 | :s/旧/新/g
替换全文所有匹配 | :%s/旧/新/g
替换全文(需确认) | :%s/旧/新/gc
查找当前光标下的词 | * (向下) 或 # (向上)

## Git操作 @git
预览当前修改的代码块 | Space h p
暂存当前代码块 | Space h s
撤销当前代码块的修改 | Space h r
查看当前行的git blame | Space h b
跳到下一个修改的代码块 | ]c
跳到上一个修改的代码块 | [c

## LSP诊断与错误 @diagnostic @error @lsp
打开诊断列表 | Space q
跳到下一个诊断/错误 | ]d
跳到上一个诊断/错误 | [d
显示当前行诊断详情 | 悬停等待 或 Space e
切换内联类型提示 | Space t h

## 文本对象操作 @textobject @surround
删除词 | daw (包含空格) 或 diw (不含空格)
修改词 | caw 或 ciw
删除括号内内容 | di( 或 di)
修改括号内内容 | ci( 或 ci)
删除引号内内容 | di" 或 di'
修改引号内内容 | ci" 或 ci'
删除花括号内内容 | di{ 或 di}
删除标签内内容 | dit
添加包围符号 | sa + 范围 + 符号
删除包围符号 | sd + 符号
替换包围符号 | sr + 旧符号 + 新符号

## 折叠代码 @fold
折叠当前代码块 | zc
展开当前代码块 | zo
切换当前折叠状态 | za
折叠所有代码块 | zM
展开所有代码块 | zR
折叠到指定级别 | zm (更多折叠) 或 zr (更少折叠)

## 宏录制与执行 @macro
开始录制宏到寄存器q | qq
停止录制宏 | q
执行寄存器q中的宏 | @q
重复执行上次的宏 | @@
执行宏多次 | 数字@q (如 10@q)

## 书签标记 @mark @bookmark
设置书签 | m + 字母 (如 ma)
跳转到书签所在行 | ' + 字母 (如 'a)
跳转到书签精确位置 | ` + 字母 (如 `a)
查看所有书签 | :marks
删除书签 | :delmarks 字母

## 帮助与速查 @help
打开本快捷键速查表 | Space h k 或 F1
显示可用快捷键提示 | 按住 Space 等待
搜索Neovim帮助 | Space s h
查看某个命令的帮助 | :help 命令名
查看某个快捷键的帮助 | :help 快捷键
打开内置教程 | :Tutor
查看插件状态 | :Lazy
安装/更新插件 | :Lazy sync
查看LSP状态 | :LspInfo
查看Mason已安装工具 | :Mason

## 常用命令 @command
执行shell命令 | :!命令
插入shell命令输出 | :r !命令
查看寄存器内容 | :reg
设置文件编码 | :set fileencoding=utf-8
设置换行符格式 | :set ff=unix
显示行号 | :set number
显示相对行号 | :set relativenumber
开启/关闭自动换行 | :set wrap / :set nowrap
